㑮	𫝈
瀩	𬉏
瀯	𰝅
瀰	㳽
瀳	𰜨
瀴	𰜳
瀵	瀵 𬉂
灍	𫞝
灒	𪷽
灓	𰛪
灙	𣺼
灟	𭲫
灠	𰜐
灡	𬉠 㳕
灦	𰝤
焛	𬮟
煇	𪸩
煱	㶽
煼	𬊂
熂	𪸕
熉	𤈶
熌	𤇄
熓	𤆡
熕	𬊎
熚	𤇹
熞	𰞤
熡	𤋏
燌	𰞻
燘	𬊖
燡	𰞇
燰	𬊺
燵	𬊉
燶	㶶
燽	𬊍
爁	𬊶
爃	𫞡
爄	𤇃
爇	爇 𦶟
爓	𰟘
爖	𤇭
爣	𬊵
爥	𪹳
爧	𫞠
牋	𰠛
牴	牴
牼	𰠲
犅	𰠫
犓	𬌝
犞	𪺭
犤	𰠹
猌	𪺽
猍	𰡎
猧	𰡏
獊	𪺷
獑	𰡔
獖	𰡞
獟	𬌮
獢	𰡊
獩	𤞃
獱	㺍
獹	𰡄
玁	𤞤
玂	𰡩
珼	𫞥
琖	𬍙
瑙	瑙 𰡻
瑠	𭹗
瑻	𪻲
瑽	𪻐
璛	𰢄
璝	𪻺
璯	㻅
璸	瑸
璹	𰡽
璼	𫞨
璾	𫞦
瓄	𪻨
瓐	𰡵
瓓	𬎑
瓕	𤦀
甊	𰢦
甒	𰢢
甖	𰢤
畼	𪽈
痮	𪽪
瘂	痖
瘑	𬏮
瘒	𬏫
瘱	𪽷
癈	𬏦
癎	𰣯
癐	𤶊
癠	𰣬
癪	𰣼
癴	𰣽
皟	𤾀
皪	𰤕
皾	𰤬
盨	𪾔
眝	𪾣
睔	𬑆
睪	睪 𠬤
睴	𬑕
瞓	𰥛
瞛	𰥒
瞡	𰥪
瞤	𥆧
瞯	𰥨
瞱	𬑓
瞶	瞆
瞷	𬑗
矉	𪾸
矊	𬑧
矑	𪾦
矕	𰥠
矖	𰥢
矘	𰥹
矲	𰦜
碙	𥐻
碢	𰦿
碽	䂵
磒	𬒍
磠	硵
磱	𮀤
磵	𰧃
礆	硷
礋	𰦰
礏	𬒆
礒	𥐟
礚	𥕤
礛	𰧔
礥	𰧇
礩	𰧉
礮	𪿫
礰	𰦦
礲	𰦭
礹	𰦾
禓	𰧰
禜	𰱈
禬	𰧻
禯	𰧾
禵	𰨖
稏	䅉
穖	𬓠
穧	𰨦
穨	𬓼
穬	𰨜
穭	穞
窱	𰩏
竀	𰩓
竉	𰩅
竚	𥩟
竱	𫁟
筴	䇲
箹	𰩺
篘	𥬠
篠	筿
篵	𥬈
篸	𥮾
篿	𰩮
簂	𫂆
簜	𰩹
簢	𫂃
簥	𰩸
簵	𰪏
簻	𰩻
籅	𥫣
籋	𥬞
籔	䉤
籚	𰩲
籣	𮆏
籦	𰪊
籫	𬖃
籭	𬕄
籯	𰪣
粯	𬖑
粻	𰪭
糮	𬖮
糰	𰪶
糷	𰫖
糹	纟
糺	𫄙
糽	𰫼
紌	𬘕
紑	𰫽
紒	𰬀
紟	𫄛
紨	𰬅
紩	𮉢
紬	䌷
紭	𰬋
紶	𬘛
紸	𰬇
紽	𰬉
紾	𬘝
絁	𫄟
絃	𰬈
絇	𰬆
絍	𫟃
絑	𰬏
絓	𮉤
絖	𬘢
絘	𰬒
絙	𫄠
絚	𰬌
絟	𬘥
絠	𬘠
絣	𰬔
絤	𬘟
絥	𫄢
絧	𫄡
絯	𰬓
絸	𬘖
絻	𰬜
絼	𰬛
絽	𬘤
絾	𰬖
絿	𰬗
綀	𦈌
綅	𰬞
綇	𦈋
綊	𰬍
綋	𫟄
綍	𰬘
綐	䌼
綕	𬘨
綞	缍
綟	𫄫
綵	䌽
綷	𮉬
綼	𰬤
緀	𰬢
緁	𰬡
緂	𰬧
緅	𮉪
緆	𰬣
緉	𮉧
緌	𮉫
緍	𦈏
緎	𰬟
総	𰬥
緓	绬
緛	𬘰
緟	𫟆
緢	𰬬
緤	𫄬
緧	𬘶
緪	𬘵
緫	𰬰
緮	𫄭
緰	𦈕
緵	𰬯
緶	缏
緷	𦈉
緸	𦈑
緺	𮉨
緻	𰬫
縆	𬘵
縌	𰬳
縍	𫄰
縎	𦈔
縒	𬘷
縓	𰬲
縖	𬘻
縚	𬘺
縜	𰬚
縡	𰬴
縩	𮉯
縪	𰬎
縬	𦈚
縰	𫄳
縳	䌸
縴	𰬮
縸	𫄲
縺	𦈐
縼	𰬵
縿	𰬪
繀	𮉮
繂	𫄴
繈	𫄶
繎	𬙇
繏	𦈝
繐	𰬸
繑	𰬐
繓	𦈛
繖	𰬷
繗	𬙈
繘	𰬻
繙	𬙆
繜	𰬺
繟	𦈎
繡	𰬩
繢	缋
繣	𰬠
繨	𫄤
繬	𫄱
繲	𰬽
繵	𬙉
繷	𫄣
繸	䍁
繿	䍀
纀	𰬿
纃	𬘧
纇	颣
纋	𰭀
纑	𮉡
纗	𫄹
纚	𫄥
罆	𰭄
罏	𬙎
罼	𬙝
羂	𰭔
羜	𬙯
羵	𫅗
翜	𰭢
翿	𰭣
聻	𫆏
脥	𣍰
腪	𣍯
膒	𬁵
膮	𰮝
膴	𰮇
膶	𬂀
膷	𰮅
膹	𪱥
臇	䐪
臗	𣎑
臡	𰯋
艛	𰰑
艜	𰰏
艣	𫇛
艭	𰰋
菕	𰰨
菣	𬜤
萯	𰰷
萴	荝
葝	𫈎
葻	𬜥
蒒	𰰳
蒕	蒀
蒭	𫇴
蒳	𰱌
蒶	𰱍
蓧	𦰏
蓲	𰰤
蔎	𰰺
蔠	𰱛
蔪	𰱑
蔮	𬜿
蔯	𫈟
蔱	𰰵
蕄	𰱉
蕑	𰱇
蕝	𫈵
蕟	𬜧
蕡	𰱟
蕧	𰱦
蕳	𫈉
蕽	𫇽
薆	𫉁
薉	𬜨
薋	𰱱
薖	𰰾
薠	𮐚
薱	𰰱
薲	𬝯
薳	薳 䓕
薵	䓓
藇	𰰠
藖	𬜾
藘	𰱮
藚	𰱐
藣	𰱯
藬	𬞘
藰	𰰹
藷	𫉄
藾	𰱾
蘈	𰲁
蘟	𦻕
蘡	𮐨
蘫	𬞫
蘬	𰰮
蘭	𬞕
蘱	𰲒
蘵	𰱲
蘹	𬜸
虅	𰲂
虆	蔂
虦	𰲠
蛵	𰲶
蛼	𰲬
蜦	𰲰
蜵	𬠔
蜸	𰲮
蜽	𮔊
蝁	𰲸
蝜	𮔅
螘	𰲹
螴	𰳄
螹	𰳂
螿	螀
蟂	𫋇
蟘	𫋌
蟜	𫊸
蟡	𰲲
蟦	𰳊
蟧	𮔚
蟱	𰲫
蟳	𫊻
蟷	𬠅
蟽	𰲻
蠀	𧏗
蠁	蚃
蠈	𬠠
蠌	𰲵
蠒	𫊱
蠙	𧏖
蠞	𬝋
蠦	𫊮
蠪	𰲴
蠳	𰳗
蠾	𧑏
衹	衹
裌	𬡒
裲	𮖁
褭	𬡇
褺	𬡓
襂	𰴂
襌	褝
襓	𫋹
襗	𫋷
襘	𫋻
襛	𰳺
襨	𰳸
襬	䙓
襭	𮖱
襰	𧝝
襱	𰳲
襵	𫌇
襸	𬡷
襹	𰳼
襼	𰳵
覒	𬆾
覕	𰴕
覗	𬢊
覛	𫌪
覜	𬢋
覟	𬢌
覠	𰴙
覢	𬊦
覤	𬟪
覥	觍
覩	𬢎
覭	𬢒
覰	𰴜
覴	𬢔
覶	𰴝
覸	𰴘
覹	𫌭
覻	𰴞
覼	𫌨
觷	𰴣
觹	𧤤
觻	𰴢
觽	𧥅
訁	讠
訆	𰵊
訑	𫍙
託	讬
訜	𫍛
訞	𫍚
訦	𰵒
訧	𰵎
訨	𫟞
訬	𰵏
訰	𰵍
訸	𰵝
訹	𰵓
註	𬣣
訽	𰵛
詀	𧮪
詃	𬣤
詄	𰵙
詅	𰵚
詇	𰵗
詉	𰵠
詊	𫟟
詌	𬣠
詍	𰵔
詏	𬣦
詑	𫍡
詓	𫍜
詜	𬣥
詠	𰵞
詥	𰵣
詨	𰵦
詯	𬣰
詴	𬣩
詶	𬣱
詺	𬣮
詻	𰵤
誁	𬣲
誂	𫍥
誃	𰵥
誋	𫍪
誌	𰵧
誎	𬣷
誏	𬣼
誐	𰵮
誒	诶
誔	𬣻
誗	𰵭
誙	𰵡
誜	𰵯
誧	𰵩
誫	𫍨
誳	𫍮
誴	𫟡
誷	𫍬
誺	𫍧
誻	𰵸
誽	𰵵
諁	𰵷
諃	𰵱
諆	𰵲
諈	𰵶
諎	𬣾
諔	𰵴
諕	𬤀
諠	𬤎
諣	𫍩
諥	𫍳
諫	𫍝
諮	谘
諯	𫍱
諰	𫍰
諹	𰵌
諻	𬤍
謆	𫍸
謉	𫍷
謋	𰵼
謌	𬤐
謍	𰴯
謑	𰵾
謜	𰵺
謞	𰵿
謟	𰵽
謣	𰶀
謥	𰶂
謯	𫍹
謰	𬣽
謱	𫍴
謲	𬤄
謴	𬤆
謵	𰶃
謸	𫍵
謻	𰶁
謼	𬤙
譀	𰶆
譂	𫟠
譄	𬤤
譅	𰶎
譆	𫍻
譇	𰶄
譈	𬤣
譊	𫍢
譌	𰵑
譐	𬤢
譑	𫍤
譔	𬤥
譟	𬤨
譠	𰶉
譡	𬣭
譨	𫍦
譩	𰶊
譳	𰶌
譸	诪
譹	𬤫
譺	𬤩
譻	𬢯
譼	䛓
譾	𫍿
譿	𬤭
讂	𰶍
讅	谉
讆	𬣀
讇	𬤛
讉	𬤦
讌	䜩
讑	𰶏
讔	𮙊
讘	𰵹
讙	𬤰
讚	𬤮
讛	𰵖
讝	𰵨
讟	𮙋
豄	𰶔
豅	𰶑
豵	𫎆
貗	𫎌
貟	贠
貣	𰷞
貤	𰷠
貦	𰷡
貱	𬥶
買	𧹒
貾	𰷢
賗	𬥸
賝	𫎩
賟	𧹖
賥	𰷤
賨	𰷥
賮	𰷧
賰	䞐
賶	𬥳
賸	𬂉
賹	𰷪
贃	𧹗
贆	𰷫
贉	𫎫
贑	𫎬
贓	𰷭
贕	𫧿
贙	𰷮
贚	𫎦
趫	𰷶
趬	𰷵
踚	𬦧
蹔	𫏐
蹛	𰸚
蹡	𬧀
蹤	𧿛
蹥	𰸔
蹪	𰸞
蹳	𫏆
蹻	𫏋
躀	𬦻
躎	䟢
躘	𨀁
躝	𨅬
躧	𰸐
軂	𬧤
軃	𰹀
軇	𮜶
軉	𨉗
軎	𰹲
軓	𰹴
軕	𫐅
軖	𰹶
軗	𨐅
軘	𰹸
軜	𫐇
軞	𬨁
軥	𰺁
軧	𰺀
軨	𫐉
軬	𫐊
軮	𬨄
軯	𰹽
軱	𮝴
軳	𰺂
軵	𰹿
軷	𫐈
軿	𫐌
輀	𮝵
輁	𰺄
輂	𰺅
輆	𬨇
輐	𰺇
輑	𰺈
輓	𬨈
輖	𫐏
輘	𰺊
輙	𰺋
輚	𰹼
輠	𰺍
輡	𰺐
輢	𫐎
輣	𰺏
輤	𰺉
輨	𫐑
輫	𰺎
輲	𰺒
輴	𮝸
輵	𬨍
輷	𫐒
輹	𰺓
轃	𰺖
轇	𫐖
轈	𬨓
轊	𫐕
轏	𰺞
轐	𫐗
